id,Stock,Beta,marketcap,trailingPE,forwardPE
524,CM,1.103,47538184192,10.544699,9.867704
525,BKCC,1.401,267064608,10.222222,8.97561
526,BBD-B.TO,2.96,5681819136,9.100157,6.638128
527,SB,1.021,553620352,8.131147,6.613333
528,BG,0.636,14894924800,7.934984,10.493346
529,BPOP,0.838,6364854784,11.714095,8.111418
530,BGC,1.523,3892358144,111.0,7.8484845
531,PBYI,1.306,255498176,11.777779,31.176472
532,BBD,0.639,30372055040,11.0,5.8367343
533,SAN,1.343,76682543104,6.8169017,6.126582
534,FIBK,0.868,2828098560,10.971774,10.587548
535,EWBC,1.375,11077773312,9.671149,9.565901
536,EAT,2.465,2197202432,14.526316,12.2970295
537,CFR,1.03,7228930048,12.370329,13.4492235
538,BNS,0.959,63281893376,11.506666,9.957692
539,BCPC,0.712,4999756288,46.25373,32.348644
540,BRKR,1.166,12932814848,32.393105,27.467836
541,BOKF,1.196,5945656320,11.471321,11.205847
542,WRB,0.568,22689193984,17.51287,13.50229
543,VLY,1.107,4050724608,8.378947,6.633333
544,ONB,0.82,5095976448,8.974226,8.576355
545,EXE.TO,1.208,634497856,19.075,16.955557
546,COKE,0.747,7933984768,19.45323,21.736261
547,BJRI,2.124,845418048,44.121952,23.960266
548,TCBI,1.189,2919765760,17.387005,14.34732
549,IBTX,1.326,1884217472,43.894234,10.470183
550,IBN,0.816,92719964160,18.468533,18.340277
551,FFBC,1.038,2131565952,8.334573,9.876652
552,BIP,0.951,14412839936,222.92856,26.008331
553,BHE,1.03,1073595776,16.765364,12.29918
554,SASR,0.921,1041711552,8.490843,8.308244
555,NXST,1.503,5759395840,17.872406,9.976259
556,EVBN,0.921,161454816,6.665179,12.706384
557,BYD,1.598,6444597248,11.0,10.601575
558,BR,1.001,24126771200,35.627827,23.98829
559,BMI,0.854,4749463040,51.531845,41.489742
560,BDC,1.033,3804928256,16.362192,12.686301
561,BCO,1.387,4131667712,50.480873,9.388211
562,BAP,1.093,13475614720,10.45219,8.391778
563,ZION,1.117,6405797376,9.977012,9.353449
564,SFBS,0.883,3615896832,17.509235,15.990361
565,SBNY,9.621,144840192,0.11078998,0.1569966
566,JBSS,0.054,1228682624,18.388887,22.2521
567,JACK,1.787,1337839104,10.869842,9.511112
568,BZH,2.241,1034672704,6.4822135,6.0628467
569,BSBR,0.795,42733490176,0.023542,6.5747123
570,BRC,0.765,2865097216,15.518325,13.565217
571,TECH,1.223,11064744960,50.64029,34.846535
572,NRIM,0.711,277783776,11.249443,9.620952
573,IBKR,0.832,46560727040,39.376102,17.675632
574,NBIX,0.244,13724075008,55.838055,21.926868
575,NBHC,0.832,1362908544,9.696237,10.276353
576,FIVE,1.209,10018542592,33.526806,25.226704
577,CNOB,1.242,748878016,9.42029,8.705358
578,BOH,1.057,2481318912,15.070048,15.6758795
579,BKU,1.339,2082390912,11.764706,9.364549
580,BKH,0.635,3728606720,13.964193,13.284671
581,BH,1.535,593872896,5.003429,-25.460402
582,BFAM,1.377,6570776576,89.25984,28.698734
583,SBLK,1.134,2005483392,13.64,4.698819
584,SBCF,1.164,2155334400,20.642275,14.847953
585,RY.TO,0.836,193165656064,12.685236,11.300247
586,PB,0.941,6152370688,14.585365,11.244445
587,HTBI,0.764,476940832,9.205387,9.834533
588,GBDC,0.588,2836845056,9.137362,9.39548
589,FRBK,0.222,394301,0.025454545,0.0112
590,FIZZ,0.829,4439469568,26.220995,23.849245
591,FCNCA,0.885,23573757952,2.0841033,8.617963
592,BWXT,0.727,9380216832,38.291046,30.005848
593,BLKB,1.037,3964666112,2471.3333,15.318181
594,BBSI,1.348,832722752,17.147497,14.752037
595,WF,0.669,8027398144,3.7275863,4.033582
596,JBT,1.288,3334589440,26.09204,18.369528
597,HDB,0.768,141732839424,17.545454,19.847519
598,FBP,1.159,2934757888,10.25731,9.5847
599,EGBN,1.014,703032192,7.096677,8.7
600,CBSH,0.79,6909456384,14.615384,15.693215
601,BUSE,0.83,1328692736,11.032109,10.321888
602,BURL,1.473,14841445376,44.31107,25.265507
603,BRO,0.785,24978751488,28.70164,23.097626
604,BRKL,0.742,885390208,11.717647,8.512821
605,BNS.TO,0.959,85634654208,11.468084,9.939007
606,BHB,0.732,402098784,8.976271,9.52518
607,BCC,1.58,6067853824,12.65429,12.920809
608,WASH,0.816,457852416,9.531915,10.418605
609,WABC,0.552,1304006016,8.066007,10.355933
610,UCBI,0.945,3134211840,17.09091,11.058823
611,TD.TO,0.841,144553623552,12.914692,9.743742
612,PPBI,1.175,2300714496,77.41936,11.428572
613,PLX,0.91,92045640,13.999999,1.5555556
614,NBTB,0.503,1729539072,13.841509,11.081572
615,INBK,0.712,300704256,36.568424,8.817259
616,IBP,1.889,7339161600,30.049944,19.963736
617,EBR,0.498,19106973696,23.857143,9.277779
618,CIB,1.123,8228438528,5.2484665,5.3636365
619,CBU,0.66,2561367808,19.60408,13.921739
620,CATY,1.118,2749094656,7.783951,8.636987
621,BVN,0.885,4181299200,7.153153,15.417477
622,BLMN,2.003,2497184768,11.203125,10.206406
623,SBS,0.547,11544369152,14.2627125,13.464
624,NX,1.344,1272171392,14.612166,14.724138
625,LOB,1.598,1858369408,25.310974,13.69967
626,IBCP,0.966,529954432,9.086021,8.771626
627,CCBG,0.536,469326656,9.022801,9.719298
628,BXMT,1.456,3457849344,13.923078,8.365546
629,BTG,1.128,3400699392,261.0,6.6923075
630,BFS,1.054,1291805312,22.248556,11.843078
631,BF-B,0.788,24616595456,25.681591,25.939697
632,BERY,1.241,7011265024,13.147826,7.251798
633,BELFB,1.391,791834112,10.925725,10.362543
634,TRST,0.84,535727104,9.142858,9.054663
635,TOWN,0.894,2101727616,13.621359,11.269076
636,TBNK,0.666,71142480,14.140352,16.44898
637,SBH,1.467,1302659328,7.8607593,6.241206
638,NWBI,0.592,1480866432,10.990566,11.421569
639,NKSH,0.478,196911184,12.56015,12.149091
640,NFBK,0.681,432195936,11.302325,9.623763
641,MNRO,1.126,943112256,29.203703,19.115152
642,LBAI,0.844,786930816,9.379846,8.642858
643,GRBK,1.709,2708603392,9.809446,8.128205
644,CZWI,1.017,127051328,9.719999,8.617022
645,BSRR,0.907,298719616,8.559322,8.178138
646,BRX,1.502,7065320960,23.217823,24.684212
647,BLX,1.174,1082311808,6.50989,6.453159
648,BLDR,2.041,25430587392,17.48114,14.245218
649,BHLB,0.871,999871232,14.325,9.20482
650,BANF,1.1,2899391232,13.884857,16.73574
651,RBC,1.453,7889326592,45.20903,28.338575
652,QSR,0.924,35474026496,21.130318,20.164974
653,PFBC,1.022,1055833088,7.228813,8.743735
654,MPB,0.578,331639744,8.737991,6.783051
655,GSBC,0.666,643170176,9.771835,10.603481
656,CBAN,0.531,201923904,9.274194,7.3248405
657,BSAC,0.478,9342211072,15.864,8.8133335
658,BRT,1.154,292536704,105.0,-37.333332
659,BLBD,1.345,1234494336,20.178947,15.2749
660,BBW,1.647,427311264,8.608069,7.778646
661,BARC.L,1.378,27659354112,678.5185,4.724085
662,STBA,0.762,1226527488,8.57754,10.622518
663,SFST,0.785,259038048,19.13253,8.10204
664,SBSI,0.53,885163328,10.365249,10.010274
665,PLAY,2.084,2515837696,22.27758,14.162895
666,OSBC,1.09,620049984,6.8514853,7.646409
667,LBRDA,0.962,8205402112,12.205129,6.743801
668,BOOT,2.196,2883140096,17.71881,18.583984
669,BOOM,1.612,385633024,18.046295,8.120832
670,BANR,0.99,1648728064,9.005629,9.542743
671,TCBK,0.533,1223600640,10.448863,10.849557
672,SMBC,0.937,497004544,11.563492,9.481562
673,SHBI,0.918,381920736,27.380953,6.969697
674,OFG,1.097,1735459072,9.610967,9.318988
675,MBWM,0.981,620327936,7.502924,8.708145
676,INDB,0.845,2208035840,9.597786,10.616326
677,GBCI,0.776,4567026688,20.0398,16.853556
678,FSBW,0.921,270939296,7.611842,7.4806037
679,FRBA,0.875,344875360,14.463158,7.633333
680,FBIZ,0.777,311495264,8.660508,7.211539
681,CBNK,0.416,289612000,8.168628,7.860377
682,BXC,1.905,1126582528,24.163267,11.807797
683,BSM,0.928,3360801536,8.5,10.444445
684,TBBK,1.482,1764981504,9.587392,6.652087
685,RCKY,1.963,201238128,19.241135,9.043333
686,NECB,0.545,222499264,4.7379518,6.473251
687,MCBC,0.662,336400064,29.666666,7.6484375
688,DCOM,1.122,747808000,8.4104805,6.7108016
689,CWBC,0.675,137384992,19.11111,14.467289
690,CVLY,0.543,219467168,8.787645,11.38
691,CM.TO,1.103,64362123264,10.5,9.796005
692,BWEN,1.35,51328036,6.611111,8.206897
693,BMW.DE,1.184,70482894848,6.171956,6.3856716
694,BMA,1.676,3808875008,87.6,7.1483684
695,BCBP,0.566,177173472,6.1470585,6.040462
696,BANX,0.481,135100992,6.6883807,8.367842
697,UNTY,1.072,279891616,7.1875005,6.478873
698,UBSI,1.018,4829967872,13.206642,13.10989
699,UBCP,0.34,82517784,9.21656,8.175141
700,RBCAA,0.579,989542784,11.038961,10.8742
701,FFIN,0.815,4683693568,23.604319,20.898088
702,COLB,0.882,4050168064,10.870787,7.5882354
703,BMRC,0.842,271561664,13.524194,10.54717
704,VIV,0.115,16659807232,16.508196,12.13253
705,NGVC,0.987,410680800,15.42735,22.012194
706,NEWT,1.303,271480000,10.891089,5.339806
707,NBN,1.151,431516416,7.7182703,8.410335
708,MBUU,1.366,884244992,13.871795,9.747747
709,FMBH,0.854,780708864,10.374603,9.726191
710,FBMS,0.871,810364032,10.85774,9.611112
711,ESSA,0.315,184697248,9.801075,8.936275
712,CUBI,1.679,1670588800,7.248634,7.179973
713,CSU.TO,0.809,78408548352,102.26644,28.064322
714,BTO,1.429,582329600,95.41936,246.5
715,BLD,1.661,14021781504,22.78852,19.398329
716,BCH,0.162,11248242688,8.87251,9.127049
717,RVSB,0.689,99643912,10.260869,13.485714
718,PPL.TO,1.482,26270351360,15.989967,14.531916
719,PEBO,0.762,1050953664,8.607558,8.411932
720,LOAN,0.539,57879820,10.541667,10.541667
721,ISBA,0.257,142636752,8.083333,6.1392403
722,HBCP,0.67,312200064,7.6773553,8.8271885
723,FMNB,0.853,501613216,10.045113,10.045113
724,FGBI,0.449,126922704,16.370968,11.032608
725,FCBC,0.507,639636928,12.970037,15.188597
726,BNGA.JK,0.63,54365712809984,8.404657,7.3430343
727,BFIN,0.457,130837352,14.189189,12.352941
728,BCE.TO,0.469,41992015872,20.188597,14.339563
729,WTBA,0.899,298208544,12.381944,11.503226
730,SYBT,0.808,1436325248,13.326975,13.586111
731,OLLI,0.763,4900899328,27.25,22.477402
732,GCL.TO,0.756,126462640,20.666668,7.75
733,CWB.TO,1.566,2720865792,8.545455,7.1755724
734,CVCY,0.838,235332512,9.165898,7.3940516
735,CIVB,0.768,241269136,5.6336994,7.576355
736,BELFA,1.391,791832768,12.827898,11.704131
737,BBRI.JK,0.642,912285547626496,15.197569,12.197334
738,6947.KL,0.128,49154985984,41.9,22.052631
739,Y.TO,0.849,135602608,3.7207544,4.091286
740,TCN.TO,1.465,4116834048,26.964287,38.717953
741,SIP.BR,0.344,577222208,8.308383,10.471698
742,POU.TO,3.312,3969555968,8.671924,7.121762
743,NA.TO,1.111,38685843456,12.006315,11.063045
744,LBRDK,0.962,8172271616,12.228633,8.658093
745,HBNC,0.996,565946688,20.046875,8.385621
746,GSBD,1.169,1643051264,8.276243,7.8020835
747,FBNC,0.999,1485774464,14.27668,12.161615
748,EIF.TO,2.073,2338035456,18.683018,12.285358
749,DOL.TO,0.574,29021360128,31.081327,26.733162
750,CPX.TO,0.569,4827183616,6.326159,13.794224
751,CIX.TO,1.637,2664179456,49.485714,4.1937046
752,BMPS.MI,1.074,5362518016,2.576687,5.6756754
753,1023.KL,0.548,70816268288,10.2153845,8.853333
754,SU.TO,1.506,64338132992,7.8973145,9.744639
755,SBSP3.SA,0.547,57893298176,14.453924,11.24834
756,PLBC,0.71,216854976,7.3286853,7.432324
757,PBH.TO,1.026,3930435328,41.94313,13.57362
758,NWC.TO,0.63,1871801088,14.81132,13.260135
759,MPV,0.561,170899408,9.426901,22.38889
760,LLOY.L,1.223,33010196480,647.0,6.8375163
761,FMCB,0.116,728170368,8.403361,417.0213
762,EFN.TO,0.841,8518908928,19.72072,13.512345
763,CPG.TO,2.882,6869046272,7.5890408,5.4851484
764,CGX.TO,2.884,469353280,4.0944443,8.773809
765,BBNI.JK,0.926,219576176476160,10.51506,8.24921
766,BASFY,1.259,51016585216,204.14285,2.2468553
767,BAS.DE,1.259,47241187328,211.72,11.285714
768,TESB.BR,0.447,1633953024,8.882784,8.818182
769,SBIN.NS,0.81,6714429538304,10.522377,10.372949
770,SAN.MC,1.343,71061250048,6.9561543,8.695193
771,QSR.TO,0.924,48078196736,21.05088,20.069029
772,PXT.TO,1.615,2235714816,3.6865418,4.0753293
773,PMT.TO,3.22,34221000,1.6451613,-5.1
774,MXG.TO,0.87,231716400,9.346938,26.941175
775,MTL.TO,1.774,1278012672,10.013793,9.68
776,MBX.TO,0.281,49840752,12.166667,18.25
777,MBCN,0.634,193314560,11.158877,14.130177
778,LRE.L,0.592,1482015872,589.52386,557.65765
779,IFC.TO,0.541,39237750784,31.479256,14.205294
780,FSRL,0.388,38141020,11.811594,8.316326
781,DOO.TO,2.41,6854528512,7.888118,8.745193
782,DBK.DE,1.188,29048074240,5.26426,5.630116
783,BTO.TO,1.128,4625472512,355.0,6.6981134
784,BRBY.L,1.136,4349527040,1019.3277,15.529382
785,BP.L,0.539,84434567168,728.9706,669.86487
786,BNP.PA,1.609,75413651456,10.761438,6.686294
787,BMRI.JK,0.591,676666393231360,12.292511,10.699054
788,BMO.TO,1.171,95939960832,18.191196,10.596955
789,BIMBOA.MX,0.206,344812879872,13.013267,17.322296
790,BFIN.JK,1.243,20152796053504,12.287941,9.554367
791,BDI.TO,1.727,538879488,18.265305,16.574074
792,BA.L,0.35,41289166848,2249.1665,17.905
793,6012.KL,0.193,26394107904,22.466665,18.722221
794,VALE3.SA,0.934,260365778944,6.677278,5.1682243
795,TXG.TO,1.181,1714200064,6.27044,8.308333
796,SXP.TO,1.358,102660032,6.0298505,4.809524
797,RBGLY,0.066,40275947520,19.947369,3.0646899
798,PVBC,0.523,160865264,13.787879,20.68182
799,PKI.TO,1.382,7583192064,16.40304,11.722826
800,PEY.TO,1.829,2891627776,9.216049,6.0445347
801,PETR4.SA,1.011,489038643200,3.9038665,4.6993713
802,PBR-A,1.011,97669644288,3.8701298,4.700315
803,HR-UN.TO,1.955,2588538368,40.217392,7.8389835
804,EQBK,0.884,531463296,68.74,7.9011493
805,EBMT,0.53,102935456,9.953488,7.2954545
806,CVE.TO,2.785,50580836352,12.773585,8.735484
807,CTBI,0.693,768587136,9.78211,9.872685
808,CJ.TO,2.99,1119312640,10.892308,13.615385
809,BNPQY,1.609,81848532992,10.765061,5.9074383
810,BNE.TO,2.796,236558448,5.2916665,4.847328
811,BKG.L,1.191,5048190464,1130.1663,13.954307
812,BDRBF,2.96,4194511104,9.140426,6.4215245
813,BBDC4.SA,0.639,143250259968,11.228347,6.0680857
814,1066.KL,0.345,24303605760,8.590909,7.9859157
815,WCP.TO,2.806,6129500160,7.020548,6.972789
816,VLE.TO,0.824,517533024,2.105042,25.050001
817,SOLB.BR,1.007,2631478272,2.4731183,5.952941
818,PZA.TO,0.965,446905632,14.395833,13.288462
819,PRU.TO,0.976,2664706560,6.4666667,10.210526
820,PBL.TO,0.631,964543680,31.095652,18.33846
821,MR-UN.TO,2.062,93664328,53.666668,4.6666665
822,MEG.TO,3.16,8462309888,15.70707,10.724137
823,LIF.TO,1.143,1848320000,9.924398,10.169014
824,LB.TO,1.267,1225435136,7.892958,6.817518
825,KXS.TO,0.728,4362896896,327.65958,38.5
826,KEY.TO,2.116,7995147776,18.859459,15.85909
827,KBL.TO,1.111,371357472,21.396341,14.264228
828,KBC.BR,1.208,28027975680,8.623602,8.820839
829,K.TO,1.131,10212824064,18.065218,20.268293
830,IVN.TO,1.995,20512210944,44.888885,16.323233
831,ITUB4.SA,0.536,315360804864,10.309524,7.8548756
832,GEI.TO,1.287,3727879424,16.35461,14.060975
833,FN.TO,1.097,2255973632,9.06506,8.549999
834,DR.TO,0.56,255898592,10.454546,10.247525
835,DB1.DE,0.563,34846101504,20.863585,17.857815
836,CYRE3.SA,1.096,9350530048,9.936255,6.7588077
837,CWBK,0.483,95322000,5.376344,14.778325
838,COLR.BR,0.131,5379090944,5.447837,15.570909
839,CFW.TO,1.86,339435744,1.7678572,3.96
840,BZLFY,0.461,12961680384,19.46193,59.90625
841,BWO.OL,1.849,4918168576,4.883303,4.6655235
842,BWFG,0.776,205898240,5.554604,7.010811
843,BVIC.L,0.639,2050717440,1712.5,12.106038
844,BPCL.NS,1.001,1302641901568,4.4333234,9.342432
845,BN4.SI,0.765,13026003968,15.617022,12.440679
846,BN.PA,0.432,38621925376,44.036762,15.637075
847,BJBR.JK,0.729,12730894385152,7.15934,5.902439
848,BAB.L,1.277,2634044416,8666.667,12.464046
849,5347.KL,0.318,65859817472,21.884617,14.405063
850,1295.KL,0.469,81913151488,12.411764,11.105263
851,1155.KL,0.272,116929224704,12.423077,11.4
852,USIM3.SA,1.478,11832248320,8.675925,6.506944
853,TSL.TO,0.974,91690616,12.518518,14.695652
854,RX.V,0.926,101026136,16.415094,18.510637
855,RSI.TO,0.576,681797632,12.690476,12.395349
856,PSK.TO,1.812,6340669952,27.926317,30.494253
857,PIF.TO,0.889,245951088,15.355264,16.913044
858,OGC.TO,1.496,2164570624,19.125,6.6521735
859,KEL.TO,2.099,1176761344,13.750001,15.125
860,FRO.OL,0.11,56256073728,6.5323434,5.808581
861,FNWB,0.762,147787168,60.19231,14.227272
862,FLUX.BR,0.225,1496612608,19.363636,18.849558
863,ERF.TO,2.652,5408748544,9.369719,5.509317
864,DBCORP.BO,0.452,46704627712,13.588083,13.581046
865,CXI.TO,0.813,159272480,12.859376,7.863057
866,CNE.TO,0.857,156912896,1.3372092,1.6666666
867,CCA.TO,0.465,2536691712,7.221154,7.1438766
868,BZU.MI,1.011,6738805248,8.425926,7.913044
869,BTCS,1.614,27616512,3.1999998,-5.8666663
870,BT-A.L,0.716,10912182272,577.1053,5.956002
871,BSDE.JK,0.819,20599699144704,10.584569,6.877051
872,BRY.TO,1.712,9383715,17.75,-5.0714283
873,BMY.L,0.626,448295232,2030.7693,16.397514
874,BLX.TO,0.412,2941163008,37.657898,28.909092
875,BIR.TO,2.037,1433864704,133.5,5.8681316
876,BGEO.L,1.094,2303890688,477.76727,145.36557
877,BEI.DE,0.259,30609223680,41.651234,27.88223
878,BDT.TO,1.208,1004544960,14.015037,8.834124
879,BDMN.JK,0.815,29125177769984,8.312645,8.38539
880,BDEV.L,1.563,4635159552,2161.818,14.715347
881,BACHY,0.397,162201960448,3.992095,17.413794
882,2445.KL,0.28,24603441152,39.368423,17.952
883,1171.KL,0.555,6577847808,16.0,13.333334
884,0316.HK,2.024,61744873472,5.77517,7.236842
885,ZZZ.TO,1.589,1002873344,14.661765,11.077778
886,WTE.TO,0.89,1601626624,13.774194,16.113207
887,WJX.TO,1.903,709892800,8.999999,8.443298
888,VNP.TO,1.616,443523520,21.73913,14.285714
889,UOVEY,0.827,36540899328,8.808081,15.406361
890,UCB.BR,0.378,21900165120,65.0,16.998514
891,TOU.TO,1.401,22258847744,12.590457,8.214008
892,TBLMY,0.061,1666487168,11.622223,0.45281383
893,SOLV.BR,0.976,2329275904,5.5789475,7.9400744
894,SII.TO,1.433,1292632704,23.032257,17.175257
895,SES.TO,2.579,3122624256,17.153847,13.765431
896,SAB.MC,1.038,7861423104,6.326087,11.192308
897,PPERY,0.591,42294714368,12.120805,0.019302089
898,PPERF,0.591,41369985024,11.08125,0.08865
899,OPBK,0.617,149703984,6.4387097,6.7891154
900,OCN.L,0.977,498618272,940.0,815.0289
901,NTIOF,1.111,28812574720,12.110158,11.22679
902,MELE.BR,1.379,3036060160,14.341604,13.516188
903,MCB.TO,0.716,51214308,8.260869,15.833333
904,LEN-B,1.52,47276670976,11.2212515,9.338582
905,KIN.BR,1.424,1174699136,20.96059,13.338557
906,J36.SI,0.448,10760937472,21.941175,6.0749187
907,IMBBY,0.416,19595309056,7.1293373,753.3334
908,IDBI.NS,0.973,871163101184,16.330645,16.530611
909,HSX.L,0.682,4276077824,775.0,855.17236
910,HSNGY,0.57,21156528128,9.582609,7.8156033
911,HLAN,0.442,172292768,8.952879,8.645096
912,GXE.TO,3.801,173085008,22.000002,5.0769234
913,GRT-UN.TO,1.113,4898036736,35.791664,13.7562275
914,GFM.L,0.871,212210112,2831.25,1617.8572
915,GEO.TO,0.881,89619872,17.363636,6.16129
916,GDI.TO,0.989,918709888,49.632908,24.506248
917,GBT.TO,0.617,486159744,10.92647,16.696629
918,GBLB.BR,0.769,9042434048,25.948147,38.707184
919,FSZ.TO,1.658,868183872,16.52,7.9423084
920,FSV.TO,0.895,10084836352,73.52459,29.199219
921,FRU.TO,2.011,2198552320,16.579546,17.792683
922,FINW,0.762,125560680,7.556391,8.589744
923,FBU.AX,1.015,2983397376,190.5,7.470588
924,FAR.TO,1.31,283054592,7.3589745,3.8783782
925,EVS.BR,0.819,447997184,12.584905,11.910714
926,EURN.BR,-0.125,3031840000,3.895939,9.136906
927,EN.PA,0.869,14276474880,12.95548,9.625955
928,DPM.TO,1.198,1868770176,7.744361,7.9230776
929,DIV.TO,1.587,478671744,13.227273,14.55
930,DIE.BR,1.167,10884093952,25.16524,12.058652
931,CPLE6.SA,0.471,27467407360,13.1780815,11.317647
932,CPFE3.SA,0.536,40109821952,7.2520833,8.367789
933,CJT.TO,1.026,1887439744,51.330273,22.560484
934,F,1.645,52769804288,12.296295,7.25683
935,GE,1.217,191901679616,21.968712,29.157806
936,MSFT,0.89,3126134571008,38.039783,31.467464
937,XOM,0.947,461221724160,13.075365,11.922051
938,INTC,0.996,186750746624,110.424995,19.71875
939,VZ,0.384,176651583488,15.258182,8.92766
940,C,1.498,121122308096,15.653466,8.795549
941,DIS,1.412,224444956672,75.06748,22.328466
942,KO,0.591,263758610432,24.76923,20.393333
943,JPM,1.127,576938115072,12.348952,12.356571
944,CSCO,0.853,202095067136,15.170213,13.134211
945,PG,0.43,381777477632,27.177555,23.31178
946,WFC,1.196,205201588224,12.0,10.793296
947,GM,1.5,52353396736,6.195355,4.9239955
948,MCD,0.718,203582554112,24.390139,20.792772
949,CMCSA,0.98,172180127744,11.684635,9.423913
950,CAT,1.152,182986702848,18.212225,16.34389
951,TGT,1.126,81816084480,19.844345,16.861086
952,CVX,1.118,292965777408,13.885564,10.9011755
953,SBUX,0.982,103473586176,24.43583,19.36229
954,CHK,0.498,11618520064,5.25,10.117312
955,MRK,0.384,334181826560,879.6666,13.505629
956,CMG,1.286,79707119616,65.36474,44.836803
957,ORCL,0.994,345240338432,33.14248,20.162119
958,COP,1.244,149733457920,14.048564,13.040983
959,DE,1.033,114332770304,11.974927,14.876493
960,UNP,1.076,150040903680,23.533972,19.549284
961,CRM,1.283,292144578560,71.88067,27.30553
962,COST,0.765,324924342272,47.853035,42.17789
963,LOW,1.12,145752424448,19.297728,18.953125
964,CVS,0.499,100373979136,12.327667,8.650759
965,LMT,0.475,109393960960,16.49873,16.450994
966,SO,0.486,78269775872,19.81768,16.60648
967,HAL,2.003,35087818752,13.499999,10.056122
968,EMR,1.361,64842211328,33.260994,19.588945
969,ED,0.351,31375763456,12.595007,16.216072
970,X,2.025,9167995904,11.455056,11.6848135
971,DOW,1.305,41013800960,70.64634,13.440836
972,NVDA,1.725,2258900090880,75.73847,29.751728
973,FDX,1.207,71299506176,16.718985,13.647668
974,CL,0.412,74019840000,32.509026,23.697369
975,TM,0.499,339239469056,11.466059,21.980785
976,STT,1.53,23346309120,13.856631,9.043275
977,MOS,1.499,10442023936,9.274285,10.966216
978,TRV,0.593,52731056128,17.979687,11.112507
979,KMB,0.412,43579826176,24.827257,17.503384
980,GD,0.679,77506215936,23.482128,17.277676
981,EXC,0.605,37560041472,16.055555,14.339695
982,DUK,0.46,74607894528,18.076635,15.278041
983,UAL,1.543,15705884672,6.0,4.134715
984,NOK,0.695,19654256640,27.23077,9.076923
985,KSS,2.005,3232939008,10.22807,11.08365
986,MRO,2.215,15989343232,11.0703125,9.11254
987,HPE,1.201,23045986304,12.227586,8.691176
988,VLO,1.521,56234508288,6.8495183,12.671864
989,DVN,2.2,31864299520,8.592465,9.156935
990,OXY,1.653,57611358208,16.664103,14.506696
991,CSX,1.183,72567865344,20.037838,16.92694
992,MPC,1.499,72607703040,8.523689,13.230467
993,CTSH,1.073,36486840320,17.40855,14.687376
994,KR,0.461,41133600768,19.300676,12.501094
995,LVS,1.177,38962204672,32.3125,16.731392
996,LRCX,1.517,127375745024,37.45451,27.14641
997,WY,1.448,26200547328,31.226088,26.404411
998,WHR,1.461,6515300864,13.719036,8.171448
999,FAST,1.04,44157018112,38.188118,32.825535
1000,O,0.925,46586806272,42.93651,32.590363
1001,IP,0.963,13502363648,45.372093,13.739437
1002,PPL,0.824,20306210816,27.53,15.126373
1003,MCO,1.268,71752343552,45.020622,32.031784
1004,GME,-0.384,3829530112,626.00006,208.66667
1005,HMC,0.608,60593684480,9.849206,12.127036
1006,EL,1.072,55258607616,119.496124,36.270588
1007,COF,1.478,56636563456,12.448997,9.062081
1008,GLW,1.074,28192401408,48.470585,15.259258
1009,CF,1.023,15620680704,10.573062,13.640984
1010,KLAC,1.34,94470414336,35.33485,25.255604
1011,CB,0.629,105144336384,11.892152,10.906145
1012,CALM,-0.078,2882626048,6.3552914,27.245369
1013,SHW,1.153,88255504384,37.589825,27.26295
1014,RF,1.206,19339716608,9.971565,9.563637
1015,NOC,0.343,71816232960,35.325462,17.311392
1016,JCI,1.247,44515385344,24.282528,15.854369
1017,CLX,0.42,19001870336,243.03175,23.774845
1018,WMB,1.065,47481827328,14.541045,19.009758
1019,CAH,0.691,27217772544,44.404762,13.970037
1020,NSC,1.304,57573601280,31.739727,18.54949
1021,SYY,1.151,40413839360,19.84841,17.090527
1022,CME,0.498,77510426624,24.271702,21.790485
1023,CIEN,1.006,7150618624,32.11039,15.550314
1024,CHKP,0.611,19188185088,23.1,16.368261
1025,SCCO,1.276,82351996928,33.923565,29.588888
1026,K,0.415,19579373568,25.462223,15.036746
1027,HRL,0.267,19108833280,24.062067,20.767857
1028,CSIQ,1.256,1277553152,3.9599202,4.542529
1029,SYK,0.899,136158806016,43.273273,27.009056
1030,RRC,1.834,8336191488,9.644258,9.617319
1031,CPB,0.228,13250678784,17.431374,13.719136
1032,DG,0.41,34281857024,20.670198,18.893461
1033,FOXA,0.794,14238732288,18.286549,8.228948
1034,CMI,1.038,40155787264,57.102715,14.098086
1035,CCL,2.55,21405401088,51.0625,11.671429
1036,MKC,0.72,20626939904,29.316793,25.019545
1037,KHC,0.666,44857118720,15.974027,11.495327
1038,NYT,1.012,7107529216,30.87143,23.236559
1039,EW,1.047,57520140288,41.547825,30.925566
1040,CI,0.558,103017758720,20.87299,11.331982
1041,CAG,0.406,14168068096,14.458536,11.018587
1042,WB,0.418,2204161536,5.3786983,4.567839
1043,VMC,0.832,36099674112,38.602547,27.679516
1044,NWSA,1.346,15036981248,65.45,29.415731
1045,CLF,2.013,11331091456,29.153847,12.225806
1046,NUE,1.617,47492038656,10.988339,15.16475
1047,CHRW,0.725,8907923456,27.992647,19.035
1048,RL,1.546,12002670592,21.287981,16.74933
1049,MCK,0.442,70546382848,24.26989,17.312157
1050,LEN,1.52,47276613632,12.534985,10.49939
1051,KKR,1.619,89462792192,24.591686,16.679934
1052,DOV,1.27,24341653504,23.593874,17.952381
1053,CNX,1.325,3632362240,2.638487,10.981481
1054,CINF,0.631,19456071680,10.649228,17.738571
